,city,cloud,country,date,humidity,lat,lon,temp_max,wind speed
265,Roald,75,NO,1559418901,81,62.58,6.12,48.2,3.36
266,Iqaluit,5,CA,1559418902,35,63.75,-68.52,37.4,4.7
267,Horodniceni,0,RO,1559418902,82,47.53,26.16,59.0,10.29
268,Grand Gaube,75,MU,1559418902,94,-20.01,57.66,75.2,6.93
269,Ponta do Sol,0,BR,1559418814,78,-20.63,-46.0,67.91,3.87
270,Bowen,90,AU,1559418902,88,-20.01,148.25,63.0,6.46
271,Laguna,75,MX,1559418902,48,27.52,-110.01,86.0,6.93
272,At-Bashi,95,KG,1559418903,69,41.17,75.81,51.71,1.12
273,Pisco,40,PE,1559418817,30,-13.71,-76.2,71.6,10.29
274,Coquimbo,0,CL,1559418834,63,-29.95,-71.34,62.6,13.87
275,Tallahassee,1,US,1559418706,52,30.44,-84.28,99.0,17.22
276,Yingkou,0,CN,1559418903,62,40.67,122.24,60.35,10.45
277,Vestmannaeyjar,98,IS,1559418903,70,63.44,-20.27,43.79,13.24
278,La Ronge,20,CA,1559418904,33,55.1,-105.3,57.2,11.41
279,La Palma,100,CO,1559418904,94,5.36,-74.39,75.11,2.44
280,Manaure,20,CO,1559418904,74,11.78,-72.45,86.0,16.11
281,Banepa,75,NP,1559418905,93,27.63,85.52,64.4,2.24
282,Maldonado,40,UY,1559418905,67,-34.91,-54.96,60.8,5.82
283,Bossangoa,97,CF,1559418905,62,6.5,17.45,80.51,8.16
284,Hay River,40,CA,1559418905,33,60.82,-115.79,62.6,17.22
285,Otsuki,90,JP,1559418905,88,35.64,138.92,69.01,4.7
286,Pangody,29,RU,1559418906,86,65.85,74.49,29.03,3.4
287,Hailar,0,CN,1559418906,70,49.2,119.7,47.75,1.99
288,Shubarshi,81,KZ,1559418906,39,48.59,57.19,77.45,6.91
289,Pleszew,0,PL,1559418906,100,51.9,17.79,70.0,6.29
290,Vanimo,100,PG,1559418907,75,-2.67,141.3,83.21,14.56
291,Beringovskiy,92,RU,1559418818,68,63.05,179.32,43.79,3.89
292,Pathein,98,MM,1559418907,82,16.78,94.73,81.95,3.69
293,Okha,99,RU,1559418907,97,53.59,142.95,36.05,7.54
294,Leshukonskoye,41,RU,1559418694,57,64.9,45.76,46.85,5.55
295,Antalaha,86,MG,1559418908,99,-14.9,50.28,65.21,3.27
296,Tomatlan,63,MX,1559418908,63,19.93,-105.25,83.21,14.52
297,Tuatapere,7,NZ,1559418908,69,-46.13,167.69,51.17,16.17
298,Rocha,97,UY,1559418825,78,-34.48,-54.34,55.31,2.77
299,Eureka,90,US,1559418908,100,40.8,-124.16,62.01,6.93
300,Jabinyanah,20,TN,1559418909,60,35.03,10.91,68.0,10.29
301,Kasongo-Lunda,40,CD,1559418909,66,-6.48,16.82,70.97,2.95
302,Anadyr,0,RU,1559418909,52,64.73,177.51,44.6,13.42
303,Jeremie,47,HT,1559418909,65,18.65,-74.12,83.57,2.04
304,Bestobe,2,KZ,1559418909,87,52.5,73.1,57.47,6.29
305,Manicore,99,BR,1559418910,92,-5.81,-61.3,80.69,2.28
306,Buraydah,0,SA,1559418803,20,26.33,43.97,95.0,4.7
307,Kivsharivka,69,UA,1559418910,93,49.63,37.68,65.39,8.95
308,Kamenka,24,RU,1559418910,71,53.19,44.05,69.01,5.26
309,Baloda,100,IN,1559418910,31,22.15,82.48,96.71,7.25
310,Xacmaz,88,AZ,1559418911,48,41.46,48.81,68.99,7.94
311,Iskateley,0,RU,1559418911,63,67.68,53.15,43.07,8.55
312,Saint-Leu,31,RE,1559418911,60,-21.15,55.28,72.0,8.05
313,Ushtobe,100,KZ,1559418911,31,45.25,77.98,78.71,4.05
314,Nola,100,CF,1559418911,94,3.52,16.05,70.97,1.66
315,Greiz,76,DE,1559418912,72,50.66,12.2,68.0,2.24
316,Chuy,4,UY,1559418838,68,-33.69,-53.46,60.17,7.56
317,Cervo,40,BR,1559418912,60,-22.19,-46.24,73.4,2.04
318,Haines Junction,62,CA,1559418809,30,60.75,-137.51,54.41,9.48
319,Necochea,11,AR,1559418737,76,-38.55,-58.74,57.0,4.0
320,Dhidhdhoo,88,MV,1559418912,75,6.88,73.1,85.19,12.77
321,Bull Savanna,44,JM,1559418912,71,17.89,-77.59,84.83,11.48
322,Kavaratti,61,IN,1559418913,70,10.57,72.64,85.91,3.76
323,Saskylakh,0,RU,1559418813,70,71.97,114.09,40.37,9.31
324,Aykhal,0,RU,1559418913,32,65.95,111.51,51.8,6.71
325,Nishihara,90,JP,1559418913,88,35.74,139.53,72.0,4.7
326,Uporovo,39,RU,1559418913,80,56.31,66.27,53.87,6.04
327,Yabelo,100,ET,1559418913,93,4.89,38.09,62.69,0.76
328,Diamantino,13,BR,1559418914,50,-14.4,-56.44,83.93,3.36
329,Koulikoro,20,ML,1559418725,41,12.86,-7.56,95.0,5.82
330,Marzuq,88,YE,1559418832,32,14.4,46.47,80.33,3.58
331,Ust-Kuyga,75,RU,1559418631,83,70.0,135.55,41.99,7.31
332,Raudeberg,94,NO,1559418914,75,61.99,5.14,46.99,5.82
333,Zacualtipan,42,MX,1559418915,55,20.65,-98.6,72.95,15.61
334,Honiara,75,SB,1559418915,94,-9.43,159.96,77.0,5.82
335,Morant Bay,20,JM,1559418915,66,17.88,-76.41,86.0,11.41
336,Nueva Imperial,90,CL,1559418915,82,-38.75,-72.95,57.2,17.22
337,Padang,100,ID,1559418915,76,-0.92,100.36,81.05,2.44
338,Omboue,62,GA,1559418916,81,-1.57,9.26,78.17,15.21
339,Vila,0,IT,1559418916,43,45.18,8.4,75.99,3.36
340,Lima,90,PE,1559418903,77,-12.06,-77.04,66.2,5.82
341,Kaseda,100,JP,1559418643,92,31.42,130.32,68.0,11.36
342,Taiobeiras,1,BR,1559418916,63,-15.81,-42.23,69.89,3.67
343,Paamiut,19,GL,1559418917,93,61.99,-49.67,36.05,8.34
344,Santiago de Cao,0,PE,1559418917,83,-7.96,-79.24,69.8,12.75
345,Soyo,75,AO,1559418917,83,-6.13,12.37,75.2,6.93
346,Shushtar,0,IR,1559418917,13,32.05,48.86,91.4,2.24
347,Hofn,100,IS,1559418917,77,64.25,-15.21,29.39,6.69
348,Chadiza,17,ZM,1559418918,69,-14.06,32.43,55.31,5.55
349,Nianzishan,0,CN,1559418918,87,47.51,122.88,47.75,6.42
350,Yarim,100,YE,1559418918,57,14.3,44.38,71.69,4.54
351,Starozhilovo,0,RU,1559418918,75,54.23,39.91,55.0,5.01
352,Saint Anthony,1,US,1559418919,43,43.97,-111.68,71.01,7.0
353,Chute-aux-Outardes,75,CA,1559418919,41,49.12,-68.38,60.8,17.22
354,Avera,40,US,1559418919,27,33.19,-82.53,93.2,6.93
355,Batagay-Alyta,90,RU,1559418919,75,67.8,130.41,41.81,2.21
356,San Carlos de Bariloche,40,AR,1559418919,76,-41.13,-71.31,48.2,21.92
357,Urucara,100,BR,1559418920,91,-2.54,-57.76,81.77,1.81
358,Hualmay,100,PE,1559418920,91,-11.1,-77.61,62.33,17.49
359,Seoul,40,KR,1559418848,93,37.57,126.98,59.0,2.24
360,El Alto,75,BO,1559418920,19,-16.5,-68.19,59.0,10.29
361,Balasore,100,IN,1559418920,74,21.5,86.92,83.93,3.91
362,Roebourne,0,AU,1559418814,16,-20.77,117.15,61.43,16.84
363,Aksarayskiy,0,RU,1559418921,53,46.79,48.01,71.6,4.47
364,Rio Grande,0,BR,1559418921,72,-32.03,-52.1,64.4,6.93
365,Deputatskiy,0,RU,1559418921,84,69.3,139.9,44.15,4.16
366,Brignoles,0,FR,1559418921,82,43.41,6.06,69.01,10.29
367,Mopipi,0,BW,1559418922,36,-21.2,24.86,61.97,1.21
368,Solnechnyy,94,RU,1559418922,79,50.72,136.64,47.57,1.59
369,Mantua,0,IT,1559418922,46,45.16,10.79,75.2,5.82
370,Salalah,40,OM,1559418922,79,17.01,54.1,86.0,5.82
371,Saraland,75,US,1559418658,69,30.82,-88.07,93.99,9.17
372,Kargasok,87,RU,1559418923,90,59.06,80.87,45.95,2.1
373,Nouadhibou,0,MR,1559418807,77,20.93,-17.03,68.0,18.34
374,Benton Harbor,1,US,1559418923,73,42.12,-86.45,84.0,3.36
375,Vega de Alatorre,100,MX,1559418923,46,20.03,-96.65,89.87,5.37
376,Carutapera,85,BR,1559418923,93,-1.2,-46.02,78.53,5.48
377,Khasan,57,RU,1559418923,77,42.43,130.64,54.41,0.65
378,Talagante,75,CL,1559418924,51,-33.66,-70.93,63.0,1.97
379,Sistranda,75,NO,1559418924,81,63.73,8.83,46.99,6.93
380,Gasa,37,BT,1559418924,92,27.91,89.73,30.11,2.46
381,Katsuura,75,JP,1559418924,82,33.93,134.5,68.0,3.36
382,Mahon,75,IE,1559418924,100,51.89,-8.4,55.99,9.17
383,Mildura,9,AU,1559418925,100,-34.18,142.16,43.0,4.7
384,Rasshevatskaya,0,RU,1559418925,69,45.57,41.03,71.51,3.6
385,Sumbawanga,27,TZ,1559418925,82,-7.95,31.62,54.05,1.61
386,Henties Bay,0,NA,1559418591,93,-22.12,14.28,53.01,3.0
387,Bubaque,58,GW,1559418925,81,11.28,-15.83,79.43,17.81
388,Lubao,40,PH,1559418925,78,14.94,120.6,86.0,2.24
389,Presidencia Roque Saenz Pena,79,AR,1559418925,76,-26.79,-60.44,63.05,3.8
390,Maningrida,54,AU,1559418926,62,-12.05,134.23,73.49,16.51
391,Talara,0,PE,1559418926,290,-4.58,-81.27,62.6,18.34
392,Loei,99,TH,1559418926,92,17.49,101.72,72.41,3.0
393,Sechura,32,PE,1559418927,78,-5.56,-80.82,70.97,16.71
394,Lavrentiya,1,RU,1559418927,58,65.58,-170.99,47.39,3.62
395,Victoria,75,BN,1559418927,88,5.28,115.24,82.4,2.24
396,Broome,0,GB,1559418927,68,52.47,1.45,69.8,8.05
397,Santa Cruz,90,US,1559418732,87,36.97,-122.03,84.0,6.93
398,Hermosillo,40,MX,1559418664,38,29.09,-110.96,93.99,11.41
399,Arsk,0,RU,1559418928,82,56.09,49.88,62.6,6.71
400,Sobolevo,0,RU,1559418928,90,54.43,31.9,57.11,4.43
401,Hit,0,IQ,1559418767,15,33.64,42.83,91.67,5.5
402,Santa Maria,90,BR,1559418676,82,-29.69,-53.81,64.4,6.93
403,Weihe,0,CN,1559418929,67,32.99,105.33,51.17,3.91
404,Berberati,100,CF,1559418929,95,4.26,15.79,70.43,3.15
405,Kanigoro,46,ID,1559418729,94,-8.13,112.22,71.33,5.97
406,Jiayuguan,1,CN,1559418930,23,39.77,98.29,65.21,8.97
407,San Quintin,98,PH,1559418930,75,17.54,120.52,80.87,1.66
408,Aksarka,92,RU,1559418930,79,66.56,67.8,35.33,13.35
409,Pacific Grove,40,US,1559418930,59,36.62,-121.92,79.0,11.41
410,Vinkovci,75,HR,1559418931,93,45.29,18.8,61.0,8.05
411,Tigre,40,AR,1559418931,68,-34.42,-58.58,66.2,4.7
412,Linxia,73,CN,1559418931,43,35.6,103.21,47.21,6.8
413,Aasiaat,81,GL,1559418931,74,68.71,-52.87,38.03,7.52
414,Noumea,0,NC,1559418636,82,-22.28,166.46,64.4,2.24
415,Mount Isa,0,AU,1559418932,40,-20.73,139.49,53.6,12.75
416,Chitral,46,PK,1559418932,63,35.85,71.79,34.25,8.86
417,Arman,92,RU,1559418932,86,59.7,150.17,43.07,3.74
418,Aklavik,20,CA,1559418811,61,68.22,-135.01,53.6,9.17
419,Esso,100,RU,1559418932,79,55.93,158.7,43.25,1.68
420,Santo Antonio do Amparo,4,BR,1559418658,87,-20.95,-44.92,67.19,5.37
421,Yeppoon,75,AU,1559418933,66,-23.13,150.74,55.4,5.82
422,Shubarkuduk,83,KZ,1559418933,59,49.15,56.49,72.05,2.06
423,Broken Hill,90,AU,1559418933,81,-31.97,141.45,48.2,12.75
424,Martapura,100,ID,1559418843,92,-3.41,114.85,77.45,6.26
425,Qaqortoq,20,GL,1559418933,46,60.72,-46.03,50.0,8.05
426,Faya,75,SA,1559418933,87,18.39,42.45,60.8,11.41
427,Inhambane,0,MZ,1559418934,82,-23.87,35.38,68.0,2.39
428,Okhotsk,69,RU,1559418934,84,59.36,143.24,44.87,4.54
429,Lagoa,0,PT,1559418934,41,37.14,-8.45,75.2,3.36
430,Sosva,99,RU,1559418934,52,59.17,61.86,53.69,8.34
431,Flinders,1,AU,1559418935,93,-34.58,150.85,59.0,6.93
432,Patur,25,IN,1559418935,38,20.46,76.94,91.49,17.74
433,Hohhot,20,CN,1559418935,41,40.81,111.65,59.0,6.71
434,Buenaventura,100,CO,1559418935,78,3.89,-77.07,82.13,12.21
435,Temple,40,US,1559418936,58,31.1,-97.34,93.0,3.36
436,Nanakuli,40,US,1559418809,69,21.39,-158.15,86.0,8.05
437,Ahipara,14,NZ,1559418936,68,-35.17,173.16,57.83,26.55
438,Zaragoza,0,ES,1559418936,23,41.65,-0.88,82.4,4.7
439,Pecos,40,US,1559418937,43,31.42,-103.49,91.4,10.29
440,Kanelovskaya,8,RU,1559418937,68,46.59,39.19,70.79,5.73
441,Mehamn,100,NO,1559418937,96,71.03,27.85,39.29,9.01
442,Srednekolymsk,0,RU,1559418649,64,67.46,153.71,42.89,10.29
443,Chukhloma,0,RU,1559418937,68,58.76,42.68,47.57,4.27
444,Along,8,IN,1559418938,80,28.17,94.8,54.41,5.06
445,Setermoen,100,NO,1559418938,75,68.86,18.35,42.8,25.28
446,Narasannapeta,56,IN,1559418938,86,18.42,84.04,84.29,5.3
447,Kathmandu,75,NP,1559418938,93,27.71,85.32,64.4,2.24
448,Omsukchan,100,RU,1559418938,67,62.53,155.8,51.35,4.14
449,Kuna,1,US,1559418939,38,43.49,-116.42,81.0,4.7
450,Acajutla,68,SV,1559418773,71,13.59,-89.83,84.29,9.64
451,Egvekinot,54,RU,1559418939,71,66.32,-179.17,34.43,6.35
452,Oistins,40,BB,1559418939,66,13.07,-59.53,86.0,16.11
453,Krasnorechenskiy,39,RU,1559418939,80,44.63,135.35,50.09,3.71
454,Bogorodskoye,100,RU,1559418940,98,52.37,140.44,39.65,5.86
455,Tessalit,0,ML,1559418940,10,20.2,1.01,93.83,10.8
456,Grindavik,40,IS,1559418804,53,63.84,-22.43,50.0,17.22
457,North Bend,1,US,1559418703,82,43.41,-124.22,68.0,17.22
458,Venado Tuerto,0,AR,1559418940,29,-33.75,-61.97,66.99,5.01
459,Baykit,23,RU,1559418940,80,61.68,96.39,35.51,3.91
460,Te Anau,90,NZ,1559418941,96,-45.41,167.72,35.51,2.46
461,Dwarka,20,IN,1559418941,44,28.58,77.04,98.01,11.41
462,Samarai,100,PG,1559418941,91,-10.62,150.67,74.39,5.37
463,Pauini,98,BR,1559418941,72,-7.71,-67.0,83.75,2.64
464,Les Escoumins,94,CA,1559418941,41,48.35,-69.4,60.71,8.3
465,Ixtapa,20,MX,1559418842,69,20.71,-105.21,81.0,11.41
466,Marsh Harbour,0,BS,1559418942,73,26.54,-77.06,81.05,5.48
467,Kingman,5,US,1559418942,9,35.19,-114.05,93.2,13.87
468,Buala,93,SB,1559418942,81,-8.15,159.59,81.95,18.3
469,The Pas,1,CA,1559418942,32,53.82,-101.24,51.8,2.24
470,Hamilton,90,CA,1559418837,60,43.26,-79.87,75.99,11.41
471,Prainha,100,BR,1559418943,95,-1.8,-53.48,79.07,3.22
472,Ngunguru,25,NZ,1559418943,95,-35.62,174.5,46.99,17.63
473,Krasnyy Luch,0,RU,1559418943,59,55.97,38.97,64.4,4.47
474,Corrente,12,BR,1559418943,48,-17.45,-44.68,77.81,3.56
475,Athabasca,75,CA,1559418944,36,54.72,-113.29,77.99,9.75
476,Kalininskaya,0,RU,1559418944,78,45.49,38.66,75.2,4.47
477,Darnah,100,LY,1559418944,79,32.77,22.64,66.11,6.62
478,Lasa,20,CY,1559418944,88,34.92,32.53,73.4,5.82
479,Port Shepstone,0,ZA,1559418944,67,-30.74,30.45,55.31,5.48
480,Tandil,0,AR,1559418945,67,-37.33,-59.14,61.0,4.0
481,Oranjemund,0,ZA,1559418945,87,-28.55,16.43,57.29,9.75
482,Osoyoos,40,CA,1559418945,20,49.03,-119.47,84.2,5.82
483,Ivankiv,78,UA,1559418945,59,50.93,29.9,66.2,2.24
484,Naze,100,NG,1559418945,96,5.43,7.07,74.75,6.11
485,Sur,0,OM,1559418946,42,22.57,59.53,93.83,7.74
486,Timmins,40,CA,1559418770,38,48.48,-81.33,59.0,5.82
487,Inirida,100,CO,1559418946,60,3.87,-67.92,90.95,1.86
488,Sandy Bay,20,AU,1559418946,87,-42.9,147.33,43.0,10.29
489,Tocopilla,0,CL,1559418946,88,-22.09,-70.2,63.05,21.23
490,Ovruch,0,UA,1559418947,68,51.33,28.8,60.17,3.06
491,Smithers,40,CA,1559418947,62,54.78,-127.17,57.2,12.75
492,Caborca,0,MX,1559418947,29,30.58,-111.1,91.0,3.0
493,Hereford,94,GB,1559418833,73,52.06,-2.72,69.01,8.25
494,Portobelo,40,PA,1559418947,88,9.55,-79.65,80.01,2.24
495,Leningradskiy,11,RU,1559418825,91,69.38,178.42,32.09,9.91
496,Aberdeen,1,US,1559418948,30,45.47,-98.49,70.0,13.87
497,Auki,79,NG,1559418948,50,12.18,6.51,86.45,8.5
498,Taltal,0,CL,1559418948,56,-25.41,-70.49,64.85,6.78
499,Beyneu,79,KZ,1559418948,33,45.32,55.19,84.29,14.65
500,Balikpapan,100,ID,1559418948,99,-1.24,116.86,71.15,1.9
501,Drummondville,1,CA,1559418949,37,45.89,-72.5,73.0,5.82
502,Sangar,23,RU,1559418819,69,63.92,127.47,54.05,6.53
503,Dzilam Gonzalez,96,MX,1559418949,79,21.28,-88.93,83.93,19.98
504,Glarus,93,CH,1559418949,52,47.04,9.07,71.6,3.36
505,Mitzic,91,GA,1559418949,95,0.78,11.55,72.23,3.0
506,Kieta,91,PG,1559418949,72,-6.22,155.63,84.29,10.22
507,Rosetta,0,EG,1559418950,73,31.4,30.42,75.2,11.41
508,Mednogorsk,46,RU,1559418950,79,51.41,57.59,65.03,2.57
509,Tyukhtet,97,RU,1559418950,73,56.54,89.31,35.69,1.86
510,Bako,93,NG,1559418950,81,9.68,6.4,79.25,6.6
511,Mangrol,0,IN,1559418950,20,25.33,76.51,100.67,11.5
512,Caratinga,20,BR,1559418951,38,-19.79,-42.14,93.2,2.24
513,Bend,1,US,1559418722,33,44.06,-121.32,82.0,8.05
514,Nyurba,0,RU,1559418951,61,63.29,118.35,49.37,4.72
515,Osuna,0,ES,1559418951,20,37.24,-5.1,91.0,6.93
516,Niort,0,FR,1559418951,60,46.32,-0.46,78.8,4.7
517,Xining,85,CN,1559418952,68,36.62,101.77,42.71,2.93
518,Soto la Marina,18,MX,1559418952,39,23.77,-98.21,96.89,14.14
519,Am Timan,18,TD,1559418952,30,11.04,20.28,92.57,5.48
520,Isangel,75,VU,1559418648,83,-19.55,169.27,71.6,16.2
521,Bone,62,ID,1559418952,78,-10.32,123.57,80.33,24.72
522,Mundo Nuevo,75,CL,1559418953,67,-32.72,-71.41,64.4,8.05
523,Caravelas,0,BR,1559418953,78,-17.73,-39.27,78.89,6.46
524,Killybegs,90,IE,1559418953,72,54.63,-8.45,59.0,6.93
525,Acari,81,BR,1559418953,57,-6.44,-36.64,82.85,11.41
526,Yerbogachen,76,RU,1559418953,69,61.28,108.01,47.75,4.0
527,Korem,64,ET,1559418954,59,12.51,39.52,61.43,4.32
528,Nome,75,US,1559418573,55,30.04,-94.42,91.4,3.36
529,Timbuktu,70,ML,1559418954,8,16.77,-3.01,98.69,8.79
530,Nipawin,1,CA,1559418954,31,53.36,-104.02,60.8,4.7
